Chen Chung Chang
Colin W. Clark
Joel Lee Brenner
Ludolph van Ceulen
Karl Christian von Langsdorf
Gustav A. Hedlund
Leonid Kantorovich
Christian Bär
Anna Erschler
Johan Jacob Ferguson
Nikolai Nikolaevich Yanenko
David Tong (physicist)
Philip Kutzko
Johannes Acronius Frisius
Lothar Göttsche
Annette Dobson
Elizabeth Buchanan Cowley
Louis Billera
John Erik Fornæss
Arjan van der Schaft
Christoph Gudermann
Michael Vogelius
Antonio Monteiro 
John Tavares (lacrosse)
Ivar Ekeland
Nataša Jonoska
Miklós Laczkovich
Michał Falkener
Martin Kassabov
Niccolò Cabeo
John Pell
Antipater (astrologer)
Christian Juel
Randall J. LeVeque
Israel Lyons
Mihalis Dafermos
Peter Wynn 
Robert M. Hayes
Alain Lascoux
David Hedgley
Rafael Bombelli
Vladimir Andreevich Yakubovich
K. R. Parthasarathy (probabilist)
Harro Heuser
Robert Griess
Mikhail Shubin 
Sharaf al-Dīn al-Ṭūsī
Robert Brown Gardner
Richard Stone
Andrew Hodges
Friedrich Wilhelm August Ludwig Kiepert
John Bollinger
Jacek Malinowski
Otto Schreier
Christopher Clavius
Peter B. Kronheimer
Kurt Gödel
Vladimir Berkovich
Joseph L. Fleiss
Josip Križan
Francesco Eschinardi
Ulrich Kohlenbach
Ivan Cherednik
Kazimierz Ajdukiewicz
Klaus Hasselmann
Claude Gaspard Bachet de Méziriac
Martin Feinberg
Egon Pearson
Iya Abubakar
John Gordon Skellam
David Ben-Zvi
Gerald L. Alexanderson
Sara van de Geer
Noah Dana-Picard
Johan de Witt
Francisco de Artiga
Ellis Kolchin
Leonard Gillman
Ivan Vsevolodovich Meshcherskiy
Khandkar Manwar Hossain
Antoon Kolen
Mihailo Petrović
Kiran Kedlaya
Robert P. Dilworth
John Greenlees Semple
Iain Paul
Jesús Ildefonso Díaz
Heinrich Emil Timerding
Marek Kuczma
Stephan Luckhaus
John Roe 
Fred van der Blij
Kenneth O. May
Carl Gustav Axel Harnack
Joel Spencer
Carew Arthur Meredith
Nikolai Nikolayevich Vorobyov 
Daniel Goldston
Ugo Morin
Shoshichi Kobayashi
Samuel Haughton
Brahmagupta
Annie Easley
Frank Ryan (American football)
Dave Thomas (skeptic)
Richard Kenyon
Gerald James Whitrow
"Sir John Sinclair, 1st Baronet"
Carlos Gustavo Moreira
Ptolemy
Gopinath Kallianpur
Serge Lang
Frank Ruskey
Konstantin Andreev
Wolfgang Hackbusch
Doron Zeilberger
Ramon Llull
Herman L. Smith
Yativṛṣabha
Paul Guldin
Heinrich Schröter
Edmund Wingate
Benjamin Osgood Peirce
Anil Kumar Bhattacharya
Charles W. Hellaby
Cecil J. Nesbitt
Nikolay Yegorovich Zhukovsky
Yuri Matiyasevich
M. B. W. Tent
T. N. Venkataramana
Alexander Wilson (astronomer)
Romanas Januškevičius
